FrameNumber,ActorName,ActorClass,MinX,MinY,MaxX,MaxY,Width,Height,WorldX,WorldY,WorldZ,CamX,CamY,CamZ,CamPitch,CamYaw,CamRoll,WorldSizeX,WorldSizeY,WorldSizeZ
0,SM_To_laundrybasket3_128_SM_To_laundrybasket,StaticMesh_SM_To_laundrybasket,1029,749,1392,1228,363,479,699.642,1769.517,402.412,756.877,1730.419,477.022,-27.610,86.318,0.000,36.316,36.289,65.049
1,SM_To_laundrybasket3_128_SM_To_laundrybasket,StaticMesh_SM_To_laundrybasket,1021,782,1392,1228,371,446,699.642,1769.517,402.412,755.558,1730.501,478.340,-25.958,86.584,0.000,36.316,36.289,65.049
2,SM_To_laundrybasket3_128_SM_To_laundrybasket,StaticMesh_SM_To_laundrybasket,1015,825,1392,1228,377,403,699.642,1769.517,402.412,754.151,1730.581,479.832,-23.795,86.858,0.000,36.316,36.289,65.049
3,SM_To_laundrybasket3_128_SM_To_laundrybasket,StaticMesh_SM_To_laundrybasket,1011,868,1392,1228,381,360,699.642,1769.517,402.412,752.922,1730.646,481.197,-21.633,87.091,-0.000,36.316,36.289,65.049
4,SM_To_laundrybasket3_128_SM_To_laundrybasket,StaticMesh_SM_To_laundrybasket,1008,919,1392,1228,384,309,699.642,1769.517,402.412,751.597,1730.711,482.720,-19.090,87.334,-0.000,36.316,36.289,65.049
5,SM_To_laundrybasket3_128_SM_To_laundrybasket,StaticMesh_SM_To_laundrybasket,1008,981,1392,1228,384,247,699.642,1769.517,402.412,750.145,1730.775,484.438,-16.141,87.593,0.000,36.316,36.289,65.049
6,SM_To_laundrybasket3_128_SM_To_laundrybasket,StaticMesh_SM_To_laundrybasket,1009,1044,1392,1228,383,184,699.642,1769.517,402.412,748.762,1730.830,486.108,-13.262,87.833,0.000,36.316,36.289,65.049
7,SM_To_laundrybasket3_128_SM_To_laundrybasket,StaticMesh_SM_To_laundrybasket,1012,1105,1392,1228,380,123,699.642,1769.517,402.412,747.515,1730.875,487.634,-10.686,88.043,-0.000,36.316,36.289,65.049
8,SM_To_laundrybasket3_128_SM_To_laundrybasket,StaticMesh_SM_To_laundrybasket,1016,1175,1392,1228,376,53,699.642,1769.517,402.412,746.150,1730.919,489.312,-7.980,88.267,0.000,36.316,36.289,65.049
25,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,1253,755,1392,1228,139,473,640.197,1769.235,438.319,723.030,1730.957,522.794,-5.316,91.358,0.000,62.029,32.029,136.731
26,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,1225,770,1392,1228,167,458,640.197,1769.235,438.319,721.701,1730.923,524.537,-5.760,91.505,0.000,62.029,32.029,136.731
27,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,1202,784,1392,1228,190,444,640.197,1769.235,438.319,720.419,1730.888,526.084,-6.068,91.646,0.000,62.029,32.029,136.731
28,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,1181,799,1392,1228,211,429,640.197,1769.235,438.319,719.073,1730.848,527.543,-6.260,91.790,0.000,62.029,32.029,136.731
29,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,1162,813,1392,1228,230,415,640.197,1769.235,438.319,717.631,1730.801,528.900,-6.316,91.943,-0.000,62.029,32.029,136.731
30,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,1146,826,1392,1228,246,402,640.197,1769.235,438.319,716.266,1730.753,529.971,-6.228,92.086,0.000,62.029,32.029,136.731
31,SM_To_toilet_shelf4_125_SM_To_toilet_shelf,StaticMesh_SM_To_toilet_shelf,1134,838,1392,1228,258,390,640.197,1769.235,438.319,715.006,1730.705,530.763,-6.032,92.215,-0.000,62.029,32.029,136.731
